Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
Eletrificação de Sistemas Hidráulicos Embarcados em Veículos de Utilidades – Tomada de Força;Apenas o título é púbico: Eletrificação de Sistemas Hidráulicos Embarcados em Veículos de Utilidades – Tomada de Força;Concluído;MVP SOLUCOES EM ENGENHARIA LTDA;Pequena;SC;2;Não é CEIS;20/09/2023;IF-SC - FLN;3;4;Veículos e sistemas autopropelidos;Máquinas e veículos de uso produtivo;Tecnologias Energéticas;Conversão de Energia
ITECH-Solos: Solução Para Análise Rápida de Solo da Região do Vale do São Francisco;"Desenvolvimento de nova metodologia baseada em Aprendizado de Máquina, visando 
a predição de macronutrientes e micronutrientes do solo de forma rápida, a partir de 
dados de espectroscopia NIR.";Concluído;INSTITUTO METODO DE TECNOLOGIA APLICADA - ITECH LTDA;Microempresa;BA;1;Não é CEIS;22/09/2023;CIMATEC;3;4;Produção agropecuária;Produção vegetal;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
PDC Grafeno em célula;Otimização de grafeno e produção de nanocompósitos para aplicação em célula eletroquímica;Em andamento;NEXT CHEMICAL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;Pequena;PR;4;Não é CEIS;01/12/2025;SENAI/SP - Distrito Tecnológico;3;4;Energia renovável;Hidrogênio verde;Manufatura e materiais avançados;Nanomateriais e Engenharia de Superfícies
PLANO DE DESENVOLVIMENTO DE COMPETÊNCIAS EMBRAPII Catalisadores;O Plano de Desenvolvimento de Competências em Catálise visa fortalecer a base tecnológica do ISI Eletroquímica na área de catálise heterogênea e eletrocatalítica, capacitando a equipe e atualizando a infraestrutura laboratorial para síntese e caracterização avançada de materiais catalíticos;Em andamento;NEXT CHEMICAL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;Pequena;PR;4;Não é CEIS;01/01/2026;SENAI ISI ELETROQUÍMICA;3;4;Indústria de base;Indústria química;Tecnologias químicas;Catálise e Engenharia de Reações
PLANO DE DESENVOLVIMENTO DE COMPETÊNCIAS EMBRAPII Catalisadores;O Plano de Desenvolvimento de Competências em Catálise visa fortalecer a base tecnológica do ISI Eletroquímica na área de catálise heterogênea e eletrocatalítica, capacitando a equipe e atualizando a infraestrutura laboratorial para síntese e caracterização avançada de materiais catalíticos;Em andamento;BRASKEM S/A;Grande;BA;4;Não é CEIS;01/01/2026;SENAI ISI ELETROQUÍMICA;3;4;Indústria de base;Indústria química;Tecnologias químicas;Catálise e Engenharia de Reações
DESENVOLVIMENTO DE UMA NOVA ROTA DE PROCESSO PARA O BENEFICIAMENTO DOS MINERAIS PORTADORES DE TERRAS RAARS;"Este projeto tem como objetivo o desenvolvimento de uma nova rota de beneficiamento do 
minério portador de terras-raras em exploração pela BORBOREMA MINERAÇÃO LTDA.";Concluído;BORBOREMA MINERACAO LTDA;Pequena;SP;3;Não é CEIS;22/09/2023;IF-RN;3;5;Indústria de base;Mineração e extração de minerais;Tecnologias químicas;Química Verde e Sustentável
Escalonamento das sínteses de eletrocatalisadores de  eletrolisadores;O Plano de Desenvolvimento de Competências em Catálise tem como propósito fortalecer as capacidades científicas e tecnológicas do ISI Eletroquímica, ampliando sua atuação em inovação e em soluções sustentáveis para os setores energético e químico. A iniciativa promove integração entre pesquisa aplicada, formação de especialistas e colaboração com empresas, consolidando a liderança da Unidade Embrapii em tecnologias emergentes nas áreas de energia, materiais e sensores.;Em andamento;NEXT CHEMICAL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA;Pequena;PR;4;Não é CEIS;01/06/2026;SENAI ISI ELETROQUÍMICA;3;5;Energia renovável;Hidrogênio verde;Tecnologias químicas;Catálise e Engenharia de Reações
Escalonamento das sínteses de eletrocatalisadores de  eletrolisadores;O Plano de Desenvolvimento de Competências em Catálise tem como propósito fortalecer as capacidades científicas e tecnológicas do ISI Eletroquímica, ampliando sua atuação em inovação e em soluções sustentáveis para os setores energético e químico. A iniciativa promove integração entre pesquisa aplicada, formação de especialistas e colaboração com empresas, consolidando a liderança da Unidade Embrapii em tecnologias emergentes nas áreas de energia, materiais e sensores.;Em andamento;TOVIESUR QUIMICA LTDA;Pequena;SP;3;Não é CEIS;01/06/2026;SENAI ISI ELETROQUÍMICA;3;5;Energia renovável;Hidrogênio verde;Tecnologias químicas;Catálise e Engenharia de Reações
Escalonamento das sínteses de eletrocatalisadores de  eletrolisadores;O Plano de Desenvolvimento de Competências em Catálise tem como propósito fortalecer as capacidades científicas e tecnológicas do ISI Eletroquímica, ampliando sua atuação em inovação e em soluções sustentáveis para os setores energético e químico. A iniciativa promove integração entre pesquisa aplicada, formação de especialistas e colaboração com empresas, consolidando a liderança da Unidade Embrapii em tecnologias emergentes nas áreas de energia, materiais e sensores.;Em andamento;BRASKEM S/A;Grande;BA;4;Não é CEIS;01/06/2026;SENAI ISI ELETROQUÍMICA;3;5;Energia renovável;Hidrogênio verde;Tecnologias químicas;Catálise e Engenharia de Reações
Geração de Tutores Virtuais Inteligentes  Através de Agentes de Linguagem Natural;Com o crescente avanço das tecnologias de inteligência artificial e a demanda por soluções inovadoras no campo da educação a distância, surge a necessidade de explorar novas abordagens para a criação de tutores virtuais altamente eficazes. Este projeto tem como objetivo central o desenvolvimento e a avaliação de tecnologias que possam revolucionar o processo de aprendizagem por meio da implementação de agentes virtuais inteligentes. Com foco específico no contexto de preparação para concursos públicos, almeja-se criar tutores virtuais que possuam um profundo conhecimento das disciplinas relevantes, proporcionando uma experiência de aprendizagem personalizada e interativa para os alunos.;Concluído;LEMKE & DIOGENES LTDA;Pequena;PR;2;Não é CEIS;21/06/2024;CEIA-UFG;6;7;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Processamento de Linguagem Natural (PLN)
Geração de Tutores Virtuais Inteligentes  Através de Agentes de Linguagem Natural;Com o crescente avanço das tecnologias de inteligência artificial e a demanda por soluções inovadoras no campo da educação a distância, surge a necessidade de explorar novas abordagens para a criação de tutores virtuais altamente eficazes. Este projeto tem como objetivo central o desenvolvimento e a avaliação de tecnologias que possam revolucionar o processo de aprendizagem por meio da implementação de agentes virtuais inteligentes. Com foco específico no contexto de preparação para concursos públicos, almeja-se criar tutores virtuais que possuam um profundo conhecimento das disciplinas relevantes, proporcionando uma experiência de aprendizagem personalizada e interativa para os alunos.;Concluído;SIQUEIRA ASSESSORIA EMPRESARIAL LTDA;Pequena;PR;2;Não é CEIS;21/06/2024;CEIA-UFG;6;7;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Processamento de Linguagem Natural (PLN)
Geração de Tutores Virtuais Inteligentes  Através de Agentes de Linguagem Natural;Com o crescente avanço das tecnologias de inteligência artificial e a demanda por soluções inovadoras no campo da educação a distância, surge a necessidade de explorar novas abordagens para a criação de tutores virtuais altamente eficazes. Este projeto tem como objetivo central o desenvolvimento e a avaliação de tecnologias que possam revolucionar o processo de aprendizagem por meio da implementação de agentes virtuais inteligentes. Com foco específico no contexto de preparação para concursos públicos, almeja-se criar tutores virtuais que possuam um profundo conhecimento das disciplinas relevantes, proporcionando uma experiência de aprendizagem personalizada e interativa para os alunos.;Concluído;LUIZ VALTER FERREIRA FILHO 05844899946;Microempresa;PR;1;Não é CEIS;21/06/2024;CEIA-UFG;6;7;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Processamento de Linguagem Natural (PLN)
Arquiteturas Baseadas em Agentes e LLMs para Consolidação de Sistemas Tutores Inteligentes Adaptativos;O objetivo deste projeto é a consolidação e operação de sistemas tutores inteligentes adaptativos, utilizando LLMs e arquiteturas de agentes para criar um ambiente de aprendizagem contínuo e personalizado nas disciplinas de concursos públicos, garantindo escalabilidade e mensuração de impacto no processo de ensino.;Em andamento;LEMKE & DIOGENES LTDA;Pequena;PR;2;Não é CEIS;24/08/2026;CEIA-UFG;3;6;Aplicações para serviços e comércio;Plataformas tecnológicas e serviços digitais transversais;Inteligência artificial;Agentes Autônomos e Sistemas Multiagente
Arquiteturas Baseadas em Agentes e LLMs para Consolidação de Sistemas Tutores Inteligentes Adaptativos;O objetivo deste projeto é a consolidação e operação de sistemas tutores inteligentes adaptativos, utilizando LLMs e arquiteturas de agentes para criar um ambiente de aprendizagem contínuo e personalizado nas disciplinas de concursos públicos, garantindo escalabilidade e mensuração de impacto no processo de ensino.;Em andamento;SIQUEIRA ASSESSORIA EMPRESARIAL LTDA;Pequena;PR;2;Não é CEIS;24/08/2026;CEIA-UFG;3;6;Aplicações para serviços e comércio;Plataformas tecnológicas e serviços digitais transversais;Inteligência artificial;Agentes Autônomos e Sistemas Multiagente
Módulo para Geração de Job Description e de Resposta Negativa com Inteligência Artificial Generativa;O objetivo consiste no desenvolvimento de uma ferramenta para geração automática de job description e de resposta negativa baseado em inteligência artificial generativa para utilização em tempo real e de forma integrada sobre os campos de preenchimento dos dados de um sistema de recrutamento e de seleção de pessoas candidatas às vagas de emprego.;Concluído;REACHR SOLUCOES INOVADORAS EM RH LTDA.;Pequena;SP;1;Não é CEIS;01/02/2024;IF-MG;3;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;IA Generativa
Desenvolvimento de Implante Hormonal;A busca por terapias hormonais tem aumentado exponencialmente nos últimos anos devido a diferentes aspectos. No passado, a terapia hormonal era prescrita para a prevenção de doenças crônicas comuns, tais como doenças cardiovasculares, osteoporose (e fraturas subsequentes), comprometimento cognitivo e alguns tipos de cânceres. Entretanto, atualmente a aplicabilidade dessa abordagem tem ganhado diferentes finalidades, incluindo questões estéticas. Diante disso, observa-se uma janela de oportunidade para o desenvolvimento de novos produtos farmacêuticos voltados para o setor de manipulação personalizada, como o desenvolvimento de implantes hormonais. A expectativa com a execução dessa proposta é fomentar a elucidação de rotas tecnológicas que sejam capazes de ampliar o acesso da população a essas terapias.;Concluído;THE PHARMACY FARMACIA DE MANIPULACAO LTDA;Pequena;BA;1;Comércio;29/09/2023;CIMATEC;3;5;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Tecnologias químicas;Tecnologias Farmacêuticas
LUMINÁRIAS URBANAS INTELIGENTES E SUSTENTÁVEIS;O projeto busca transformar a iluminação pública em um ecossistema inteligente e adaptável, onde a tecnologia não apenas aprimora a eficiência energética, mas também contribui para a criação de ambientes urbanos mais seguros, sustentáveis e conectados através de uma nova luminária inteligente dotada de sensoriamento remoto controlável a partir de um sistema web.;Concluído;L.C.S. SOUZA CONSTRUCOES;Pequena;CE;1;Não é CEIS;27/05/2024;IF-CE;4;4;Infraestrutura e SIUP;Redes elétricas;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
LUMINÁRIAS URBANAS INTELIGENTES E SUSTENTÁVEIS;O projeto busca transformar a iluminação pública em um ecossistema inteligente e adaptável, onde a tecnologia não apenas aprimora a eficiência energética, mas também contribui para a criação de ambientes urbanos mais seguros, sustentáveis e conectados através de uma nova luminária inteligente dotada de sensoriamento remoto controlável a partir de um sistema web.;Concluído;DULANE GESTAO DE NEGOCIOS S.A.;Média;CE;3;Não é CEIS;27/05/2024;IF-CE;4;4;Infraestrutura e SIUP;Redes elétricas;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
LUMINÁRIAS URBANAS INTELIGENTES E SUSTENTÁVEIS;O projeto busca transformar a iluminação pública em um ecossistema inteligente e adaptável, onde a tecnologia não apenas aprimora a eficiência energética, mas também contribui para a criação de ambientes urbanos mais seguros, sustentáveis e conectados através de uma nova luminária inteligente dotada de sensoriamento remoto controlável a partir de um sistema web.;Concluído;CATEC GESTAO, SOLUCOES & NEGOCIOS LTDA;Pequena;CE;1;Não é CEIS;27/05/2024;IF-CE;4;4;Infraestrutura e SIUP;Redes elétricas;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
SISTEMA DE DETECÇÃO MULTIGASES EM LAVADOR DE GASES AUTOMOTIVO/INDUSTRIAL;Este projeto, com duração de 20 meses, propõe o desenvolvimento de um dispositivo sensor óptico multigases destinado à integração em sistemas lavadores de gases industriais e sistemas automotivos. A solução visa permitir a detecção simultânea e em tempo real de diferentes espécies gasosas relevantes para o controle de emissões e a validação de tecnologias de descarbonização.;Em andamento;RIBERMAN INOVACOES TECNOLOGICAS SA;Pequena;SP;1;Não é CEIS;30/01/2026;SENAI ISI ELETROQUÍMICA;4;5;Processos industriais;Qualidade, riscos e conformidade;Tecnologias ópticas e sensoriamento;Sensores Químicos e Biológicos
Avaliação do Desgaste Abrasivo-Corrosivo de Chapas de Vagões de Transporte de Bauxita;Este projeto tem como objetivo investigar o comportamento das chapas utilizadas na construção de vagões para transporte de bauxita, em relação ao desgaste abrasivo-corrosivo, utilizando um equipamento e metodologia de ensaio específica.;Concluído;GREENBRIER MAXION - EQUIPAMENTOS E SERVICOS FERROVIARIOS S.A.;Grande;SP;5;Não é CEIS;02/10/2023;FEMEC-UFU;4;5;Veículos e sistemas autopropelidos;Outros modais e tipos;Manufatura e materiais avançados;Metais Avançados e Ligas Especiais
Desenvolvimento de combate a pragas com ação fotodinâmica- agro toxicidade verde;Desenvolvimento de combate a pragas com ação fotodinâmica- agro toxicidade verde;Em andamento;C4 BIOTECNOLOGIA LTDA;Média;SP;2;Não é CEIS;10/04/2025;USP-IFSC;3;5;Produção agropecuária;Produção vegetal;Tecnologias químicas;Fertilizantes e defensivos agrícolas
Tecnologias de Inteligência Artificial para automatização das etapas de requisitos de projetos de tecnologia e inovação;O projeto prevê o desenvolvimento de uma nova plataforma chamada Transform<IT> composta por um agente conversacional autônomo baseado em Inteligência Artificial que guiará a definição dos requisitos como forma de ampliar o engajamento de Tech Buyers, aumentando o volume de matches com os Tech Sellers, e agregando assim, maior valor ao processo produtivo da empresa.;Concluído;LMC INDUSTRIA DE BEBIDAS ARTESANAIS LTDA;Pequena;SP;1;Não é CEIS;04/10/2023;CEIA-UFG;4;7;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Agentes Autônomos e Sistemas Multiagente
Tecnologias de Inteligência Artificial para automatização das etapas de requisitos de projetos de tecnologia e inovação;O projeto prevê o desenvolvimento de uma nova plataforma chamada Transform<IT> composta por um agente conversacional autônomo baseado em Inteligência Artificial que guiará a definição dos requisitos como forma de ampliar o engajamento de Tech Buyers, aumentando o volume de matches com os Tech Sellers, e agregando assim, maior valor ao processo produtivo da empresa.;Concluído;MATCH IT SERVICOS DE TECNOLOGIA LTDA;Pequena;SP;4;Não é CEIS;04/10/2023;CEIA-UFG;4;7;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Agentes Autônomos e Sistemas Multiagente
Validação De Metodologias Para a Avaliação De Propriedades Mecânicas de Materiais Para a Indústria de Óleo e Gás Utilizando Amostras Miniatura;"Este projeto tem como objetivo a validação de metodologias de ensaios mecânicos
miniaturizados para a avaliação de propriedades mecânicas de materiais forjados e fabricados por
manufatura aditiva para a indústria de óleo e gás.";Concluído;FMC TECHNOLOGIES DO BRASIL LTDA.;Grande;RJ;3;Não é CEIS;04/10/2023;FEMEC-UFU;3;4;Petróleo e gás;Exploração e produção de petróleo;Manufatura e materiais avançados;Outros Tecnologias de Manufatura
Pinguim 4.0;Desenvolvimento de algoritmos para tomada de decisão com objetivo de ampliar as possibilidades de unir pessoas e destinos de acordo com o perfil e preferências dos usuários com a adoção e desenvolvimento de algoritmos de Machine Learning para um aplicativo para dispositivos móveis.;Concluído;DF VIAGENS E TURISMO LTDA;Microempresa;SP;1;Não é CEIS;04/10/2023;ITEC-FURG;3;7;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Sistemas de Recomendação
Pinguim 4.0;Desenvolvimento de algoritmos para tomada de decisão com objetivo de ampliar as possibilidades de unir pessoas e destinos de acordo com o perfil e preferências dos usuários com a adoção e desenvolvimento de algoritmos de Machine Learning para um aplicativo para dispositivos móveis.;Concluído;PINGUIM AGENCIA DE TURISMO LTDA;Pequena;SP;1;Não é CEIS;04/10/2023;ITEC-FURG;3;7;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Sistemas de Recomendação
Pinguim 4.0;Desenvolvimento de algoritmos para tomada de decisão com objetivo de ampliar as possibilidades de unir pessoas e destinos de acordo com o perfil e preferências dos usuários com a adoção e desenvolvimento de algoritmos de Machine Learning para um aplicativo para dispositivos móveis.;Concluído;PERRONI SANVICENTE E SCHIRMER ADVOGADOS;Pequena;RS;1;Não é CEIS;04/10/2023;ITEC-FURG;3;7;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Sistemas de Recomendação
Desenvolvimento de sistema móvel de  recarga emergencial para veículos elétricos;Desenvolvimento de um sistema móvel para recarga emergencial de veículos elétricos, que proporcione um recarregamento de energia suficiente para alcançar o eletroposto mais próximo ou chegar a um local seguro para deixar o carro.;Concluído;EGNEX ELETRICA LTDA;Pequena;PR;2;Não é CEIS;08/12/2023;SENAI ISI ELETROQUÍMICA;4;6;Veículos e sistemas autopropelidos;Veículos leves;Tecnologias Energéticas;Armazenamento de Energia
Desenrrrrrvolvimento de formulações à base de bacteriófagos para o tratamento sustentável de mastite bovina;"Este projeto de pesquisa e inovação tem como objetivo principal o desenvolvimento de um tratamento inovador a base de bacteriófagos para o tratamento de mastite bovina, dando suporte à consolidação de uma cadeia produtiva mais sustentável. A mastite bovina é uma doença que acomete cerca de 25% do rebanho no Brasil, causando prejuízo elevado para a indústria produtora de leite. A doença pode ser caracterizada clinicamente por uma inflamação aguda na glândula mamária (teto), e que resulta em modificações físico-químicas no leite. Essa doença é normalmente tratada com terapias a base de antibióticos de amplo espectro em combinação com anti-inflamatórios. No entanto, o uso massivo de antibióticos no campo tem selecionado cepas resistentes a um ou mais desses compostos (multirresistentes).
A utilização de produtos à base de bacteriófagos (também referidos como fagos), vírus que naturalmente infectam bactérias, surge como uma possível solução para este problema, combatendo infecções associadas à mastite e mitigando mecanismos de resistência bacteriana. Os fagos são candidatos a substituírem ou complementarem o uso de antibióticos, com o potencial de limitar o surgimento de bactérias patogênicas resistentes, auxiliar a manutenção da qualidade de produção, bem-estar animal, saúde humana e impacto ambiental. A primeira etapa deste projeto envolve a seleção de fagos, a partir de parâmetros biológicos e físico-químicos, para o controle de bactérias normalmente associadas à mastite. Os fagos mais promissores serão, então, reunidos em coquetéis e testados em ensaios multifatoriais in vitro, incluindo o uso combinado com antibióticos para avaliar possíveis ações sinérgicas. Numa segunda etapa, formulações contendo os coquetéis (e coquetéis com antibióticos) mais eficazes serão testados em modelo murino, usando diferentes veículos e tecnologia de apresentação (ex: encapsulamento) para uma validação pré-clínica. Por fim, na terceira e última etapa do projeto, a formulação mais promissora será avaliada em campo, em ensaio clínico cego e randomizado.";Em andamento;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;Grande;SP;1;Não é CEIS;05/10/2023;SENAI ISI QUÍMICA VERDE;4;6;Produção agropecuária;Sanidade animal;Biotecnologia;Biotecnologia Agrícola (verde)
Desenrrrrrvolvimento de formulações à base de bacteriófagos para o tratamento sustentável de mastite bovina;"Este projeto de pesquisa e inovação tem como objetivo principal o desenvolvimento de um tratamento inovador a base de bacteriófagos para o tratamento de mastite bovina, dando suporte à consolidação de uma cadeia produtiva mais sustentável. A mastite bovina é uma doença que acomete cerca de 25% do rebanho no Brasil, causando prejuízo elevado para a indústria produtora de leite. A doença pode ser caracterizada clinicamente por uma inflamação aguda na glândula mamária (teto), e que resulta em modificações físico-químicas no leite. Essa doença é normalmente tratada com terapias a base de antibióticos de amplo espectro em combinação com anti-inflamatórios. No entanto, o uso massivo de antibióticos no campo tem selecionado cepas resistentes a um ou mais desses compostos (multirresistentes).
A utilização de produtos à base de bacteriófagos (também referidos como fagos), vírus que naturalmente infectam bactérias, surge como uma possível solução para este problema, combatendo infecções associadas à mastite e mitigando mecanismos de resistência bacteriana. Os fagos são candidatos a substituírem ou complementarem o uso de antibióticos, com o potencial de limitar o surgimento de bactérias patogênicas resistentes, auxiliar a manutenção da qualidade de produção, bem-estar animal, saúde humana e impacto ambiental. A primeira etapa deste projeto envolve a seleção de fagos, a partir de parâmetros biológicos e físico-químicos, para o controle de bactérias normalmente associadas à mastite. Os fagos mais promissores serão, então, reunidos em coquetéis e testados em ensaios multifatoriais in vitro, incluindo o uso combinado com antibióticos para avaliar possíveis ações sinérgicas. Numa segunda etapa, formulações contendo os coquetéis (e coquetéis com antibióticos) mais eficazes serão testados em modelo murino, usando diferentes veículos e tecnologia de apresentação (ex: encapsulamento) para uma validação pré-clínica. Por fim, na terceira e última etapa do projeto, a formulação mais promissora será avaliada em campo, em ensaio clínico cego e randomizado.";Em andamento;MICROBIOTEC PESQUISA, DESENVOLVIMENTO E ANALISES MICROBIOLOGICAS LTDA;Pequena;MG;5;Não é CEIS;05/10/2023;SENAI ISI QUÍMICA VERDE;4;6;Produção agropecuária;Sanidade animal;Biotecnologia;Biotecnologia Agrícola (verde)
“Desenvolvimento  de sistema móvel de recarga emergencial para veículos elétricos – Fase II;Desenvolvimento de um sistema móvel para recarga emergencial de veículos elétricos, que proporcione um recarregamento rápido de energia suficiente para alcançar o eletroposto mais próximo ou chegar a um local seguro para deixar o carro.;Atrasado;EGNEX ELETRICA LTDA;Pequena;PR;2;Não é CEIS;24/01/2025;SENAI ISI ELETROQUÍMICA;6;8;Veículos e sistemas autopropelidos;Veículos leves;Tecnologias Energéticas;Armazenamento de Energia
Easy Events;Pesquisa e desenvolvimento de uma solução para a configuração dinâmica e personalizada de fluxos de gestão de eventos, baseada em paradigmas Low Code/No Code, com foco na otimização de processos e na tomada de decisões em tempo real, através de análise preditiva e automação de tarefas, baseado em técnicas de Inteligência Artificial, Análise de Dados e Computação em Nuvem.;Concluído;POMAR CONSULTORIA E MARKETING LTDA;Microempresa;PB;1;Não é CEIS;14/04/2025;CEEI;5;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Easy Events;Pesquisa e desenvolvimento de uma solução para a configuração dinâmica e personalizada de fluxos de gestão de eventos, baseada em paradigmas Low Code/No Code, com foco na otimização de processos e na tomada de decisões em tempo real, através de análise preditiva e automação de tarefas, baseado em técnicas de Inteligência Artificial, Análise de Dados e Computação em Nuvem.;Concluído;LUZ CRIACOES TECNOLOGIA E SERVICOS LTDA;Microempresa;PB;1;Não é CEIS;14/04/2025;CEEI;5;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Easy Events;Pesquisa e desenvolvimento de uma solução para a configuração dinâmica e personalizada de fluxos de gestão de eventos, baseada em paradigmas Low Code/No Code, com foco na otimização de processos e na tomada de decisões em tempo real, através de análise preditiva e automação de tarefas, baseado em técnicas de Inteligência Artificial, Análise de Dados e Computação em Nuvem.;Concluído;FELIPE SALES RAMALHO;Microempresa;PB;1;Não é CEIS;14/04/2025;CEEI;5;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Otimização da produção de biochar fertilizante a partir do caroço do açaí;"Otimizar as condições de pirólise e de adsorção de espécies para potencializar a produção de biochar 
fertilizante a partir do caroço de açaí e minimização de resíduos;
Desenvolver estudos de simulação computacional, de viabilidade técnico-econômica e projeto de 
engenharia para a nova unidade de pirólise em escala comercial.";Cancelado;AMAZON BIOFERT LTDA;Microempresa;AP;1;Não é CEIS;09/10/2023;SENAI ISI QUÍMICA VERDE;3;5;Produção agropecuária;Produção vegetal;Tecnologias químicas;Fertilizantes e defensivos agrícolas
ChocoMat;Desenvolver e implementar um sistema automatizado para transportar os tablets de chocolate de 5g dentro de bandejas para a máquina de embalagem de forma a maximizar a performance da máquina e aumentar o escoamento da produção, realizando em paralelo a aquisição de dados produtivos e de qualidade do ambiente para gerar informações pertinentes no processo de qualidade de embalagens desses chocolates.;Cancelado;CHOCOBIC INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;Microempresa;AM;1;Não é CEIS;31/10/2025;IF-AM;3;6;Alimentos e bebidas;Embalagens para alimentos e bebidas;Automação e Robótica;Controle e Automação de Processos
Tecnologias de Inteligência Artificial para acesso rápido ao diagnóstico dos processos;Projeto de pesquisa e desenvolvimento de agente conversacional inteligente para acesso rápido ao diagnóstico de processos. O principal objetivo deste projeto é desenvolver um agente conversacional inteligente, utilizando APIs préexistentes, que permita aos usuários o acesso aos insights críticos de processos de negócios com possibilidade de respostas nos formatos de textos e imagens, interação do usuário utilizando voz e integração com chat/plugins externos de comunicação, como por exemplo, MS Teams, WhatsApp e/ou Slack.;Concluído;SMART PROCESS S.A;Média;SC;1;Não é CEIS;11/10/2023;CEIA-UFG;4;7;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Processamento de Linguagem Natural (PLN)
Desenvolvimento de modelos analíticos, numéricos e experimentais para análise de tubos revestidos mecanicamente (MLP) reforçados com adesivo instalados pelo método carretel;Definição das condições limitantes (seguras) do método de instalação por reel-lay para Tubos Revestidos Mecanicamente (MLPs) e Tubos Revestidos Mecanicamente Reforçados com Adesivo (ARMLPs) em cenários de águas profundas.;Em andamento;CNOOC PETROLEUM BRASIL LTDA.;Grande;RJ;1;Não é CEIS;10/08/2026;COPPE;3;6;Petróleo e gás;Exploração e produção de petróleo;Manufatura e materiais avançados;Simulação e Modelagem de Processos
Solução digital para manejo de animais em sistemas de produção a pasto;Desenvolvimento de um sistema de cerca virtual , que funcione via instalação de um dispositivo no animal, cujo qual é capaz de coletar informações de localização ao passo que controla o deslocamento do animal com o uso de estímulos sonoros e elétricos.;Cancelado;INOVA FARM TECNOLOGIA DE RASTREAMENTO PECUARIO LTDA;Microempresa;MG;1;Não é CEIS;11/10/2023;IF-Goiano;3;4;Produção agropecuária;Produção pecuária;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Desenvolvimento de rota enzimática para produção industrial de biossurfactante;Desenvolvimento de rota enzimática para produção industrial de  biossurfactante.;Concluído;BASF SA;Grande;SP;8;Não é CEIS;20/10/2023;SENAI ISI BIOSSINTÉTICOS;3;4;Indústria de base;Indústria química;Biotecnologia;Biotecnologia Industrial (branca)
Revestimento a laser de altas velocidades em discos de freio ventilados - CL4DI;Aplicar o processo de revestimento a laser de alta velocidade na indústria automotiva, visando aumentar a performance e a vida útil de discos de freio por meio da deposição de materiais de maior resistência ao desgaste.;Concluído;MODERNA 3D LTDA;Microempresa;SC;2;Não é CEIS;25/10/2023;SENAI MANUFATURA, LASER E ROBÓTICA;3;4;Veículos e sistemas autopropelidos;Veículos leves;Manufatura e materiais avançados;Nanomateriais e Engenharia de Superfícies
